geneID	symbol
FBtr0074083	CG8191-RA
FBtr0081643	Ufl1-RA
FBtr0072025	CG9812-RB
FBtr0085501	CG31036-RA
FBtr0081162	AsnRS-RA
FBtr0085460	Kul-RA
FBtr0075875	CG11267-RA
FBtr0085462	Obp99b-RA
FBtr0085508	eIF2Balpha-RA
FBtr0075975	CG10657-RA
FBtr0085757	CG1542-RA
FBtr0300028	CG34242-RB
FBtr0343583	l(1)G0196-RP
FBtr0340240	Akap200-RF
FBtr0336666	Trap1-RB
FBtr0086274	RpS18-RA
FBtr0089975	sdt-RD
FBtr0083560	CG14314-RA
FBtr0072117	bw-RA
FBtr0088264	Galphao-RB
FBtr0112920	RhoGAP1A-RB
FBtr0087675	Roe1-RA
FBtr0079263	CG9547-RA
FBtr0079264	Phf5a-RA
FBtr0074978	CG9452-RA
FBtr0301677	sn-RE
FBtr0300379	CaMKII-RJ
FBtr0074971	CG14100-RA
FBtr0308841	l(2)01289-RL
FBtr0300680	ND-B12-RE
FBtr0299893	Pka-R1-RO
FBtr0111146	mRpS5-RA
FBtr0113290	CG5028-RC
FBtr0070459	tko-RB
FBtr0472695	CG46339-RA
FBtr0080693	DCTN5-p25-RA
FBtr0072755	ABCB7-RB
FBtr0309276	nwk-RB
FBtr0308245	CG3376-RC
FBtr0080982	Sgt-RA
FBtr0070378	csw-RA
FBtr0075274	CG7728-RA
FBtr0084399	fzo-RA
FBtr0301016	CG33203-RD
FBtr0330300	CG11873-RC
FBtr0076006	CG32100-RA
FBtr0071058	CG11368-RA
FBtr0472670	mIF3-RC
FBtr0331664	Ndae1-RJ
FBtr0087581	CG13018-RA
FBtr0331547	CG6084-RD
FBtr0310323	CG13185-RD
FBtr0331542	CG18178-RB
FBtr0084038	r-l-RA
FBtr0344535	CG45089-RA
FBtr0089734	r-RA
FBtr0072470	Pdk1-RB
FBtr0083781	Nup58-RA
FBtr0075055	Atg3-RA
FBtr0089941	scf-RB
FBtr0330233	jbug-RM
FBtr0076137	CG6083-RA
FBtr0299616	CG42272-RC
FBtr0331712	Pdcd4-RD
FBtr0331716	rdgB-RI
FBtr0080331	ThrRS-RB
FBtr0076822	CG7506-RA
FBtr0073407	CG1637-RC
FBtr0076433	PGRP-LA-RC
FBtr0073151	Scsalpha-RA
FBtr0333065	jeb-RB
FBtr0346633	fdl-RF
FBtr0083642	fru-RC
FBtr0081223	fon-RA
FBtr0085551	Tace-RA
FBtr0071832	CG4752-RA
FBtr0086674	GstE6-RA
FBtr0070119	Mybbp1A-RA
FBtr0334852	CG44085-RD
FBtr0332212	qtc-RI
FBtr0074432	CG5613-RB
FBtr0110942	CG16863-RB
FBtr0083000	UQCR-C1-RA
FBtr0304964	Cam-RD
FBtr0079349	SA-RA
FBtr0337015	CG14882-RB
FBtr0087744	GstE14-RA
FBtr0072084	mRpL43-RA
FBtr0071280	l(1)G0020-RA
FBtr0075338	Rh4-RA
FBtr0086212	CG15237-RA
FBtr0086951	APC10-RA
FBtr0076766	CG8042-RA
FBtr0301839	Ppn-RG
FBtr0079723	CG13390-RA
FBtr0334482	bt-RH
FBtr0084172	ND-42-RA
FBtr0072236	Snap29-RA
FBtr0072235	eIF6-RA
FBtr0082195	gammaSnap2-RA
FBtr0082194	knk-RA
FBtr0301202	CG6424-RC
FBtr0083123	CG6276-RA
FBtr0345229	Dip-B-RD
FBtr0330378	PSR-RB
FBtr0082770	CG9813-RF
FBtr0113777	Gpb5-RA
FBtr0331756	CG9917-RB
FBtr0079150	CG13999-RA
FBtr0332413	Rtnl1-RL
FBtr0074760	Arp10-RA
FBtr0082584	CG5196-RA
FBtr0299833	KCNQ-RD
FBtr0333384	thoc6-RB
FBtr0071014	CG4607-RB
FBtr0333381	CAH2-RB
FBtr0333029	CG17364-RF
FBtr0110973	Mhcl-RF
FBtr0078700	Vha26-RB
FBtr0339559	CG9331-RJ
FBtr0076022	eIF3l-RA
FBtr0334895	tst-RB
FBtr0084546	Tsc1-RA
FBtr0086734	Dlip3-RA
FBtr0074918	Mtr3-RA
FBtr0078856	MED31-RA
FBtr0089125	Hcf-RB
FBtr0089126	Hcf-RA
FBtr0332316	CG3009-RD
FBtr0332093	RhoGAP71E-RG
FBtr0332090	CG32103-RE
FBtr0081357	RtGEF-RB
FBtr0080617	NimB4-RA
FBtr0336699	olf186-F-RG
FBtr0083574	CG8064-RA
FBtr0273393	ND-B17.2-RB
FBtr0081180	hook-RA
FBtr0074505	CG6847-RA
FBtr0343869	Mpp6-RB
FBtr0302787	Lmpt-RL
FBtr0332898	CG15309-RC
FBtr0302569	qtc-RH
FBtr0071690	CG10433-RA
FBtr0075519	mRpS31-RA
FBtr0088806	CG30373-RA
FBtr0083702	Xrp1-RC
FBtr0080708	l(2)35Cc-RA
FBtr0082869	CG3061-RA
FBtr0072607	Vti1a-RA
FBtr0088650	CG30349-RA
FBtr0330700	Slob-RD
FBtr0345597	Rh50-RC
FBtr0072866	HBS1-RA
FBtr0334464	bif-RE
FBtr0345342	CG10866-RB
FBtr0334461	CG4991-RE
FBtr0087594	PheRS-m-RA
FBtr0301960	Tm1-RN
FBtr0082424	Ho-RA
FBtr0331557	UQCR-C2-RB
FBtr0083810	CG6231-RA
FBtr0087242	clu-RA
FBtr0085632	Fer1HCH-RB
FBtr0343147	Tim9a-RB
FBtr0079681	CG13088-RA
FBtr0077987	Pino-RB
FBtr0113422	IRSp53-RB
FBtr0076106	CG32091-RB
FBtr0085795	rod-RA
FBtr0331838	lqf-RL
FBtr0079299	Aatf-RA
FBtr0333697	CG32195-RC
FBtr0087336	eIF2Bgamma-RA
FBtr0087339	CG30466-RA
FBtr0071342	Zpr1-RA
FBtr0081785	CG3223-RA
FBtr0339979	CG33469-RB
FBtr0334865	Uvrag-RB
FBtr0070127	SkpA-RC
FBtr0290024	CG7394-RB
FBtr0075958	vih-RA
FBtr0084645	ana1-RA
FBtr0110834	CG31030-RB
FBtr0086119	PGAP3-RB
FBtr0078212	knrl-RA
FBtr0110839	CG34125-RA
FBtr0304603	pros-RH
FBtr0071170	CG1632-RA
FBtr0307552	Mccc1-RD
FBtr0337003	RluA-2-RE
FBtr0087941	CG8818-RA
FBtr0083195	c(3)G-RB
FBtr0082946	su(Hw)-RA
FBtr0084409	Sec13-RA
FBtr0077189	Rpt6-RA
FBtr0088975	CG11127-RA
FBtr0085831	CG11563-RA
FBtr0303414	CG2059-RB
FBtr0339949	Aladin-RB
FBtr0084043	CG7079-RA
FBtr0308093	CG34417-RN
FBtr0071095	RpS14a-RA
FBtr0345005	CG13907-RB
FBtr0088103	Syx6-RB
FBtr0329963	CG10188-RC
FBtr0075672	mRpL39-RA
FBtr0082760	GILT1-RA
FBtr0301890	Vdup1-RD
FBtr0113831	Maf1-RB
FBtr0073697	CG32649-RA
FBtr0306100	sals-RE
FBtr0075852	cmb-RB
FBtr0084577	mRpS24-RA
FBtr0088505	l(2)k10201-RA
FBtr0084272	mRpL45-RA
FBtr0075911	mirr-RA
FBtr0309285	CG33543-RD
FBtr0088402	magu-RB
FBtr0302374	jbug-RL
FBtr0078403	ebd2-RA
FBtr0307212	CG16978-RB
FBtr0076329	Ilp2-RA
FBtr0082909	140up-RA
FBtr0075452	Strumpellin-RA
FBtr0300178	gol-RC
FBtr0088245	LTV1-RA
FBtr0303873	tai-RF
FBtr0082547	Cpn-RA
FBtr0080526	Ing5-RB
FBtr0082624	Cog1-RA
FBtr0073252	Cpr64Ac-RA
FBtr0112806	fw-RB
FBtr0081333	CG10721-RA
FBtr0339356	CG8635-RB
FBtr0308228	pod1-RG
FBtr0334610	Nrx-1-RF
FBtr0084755	beta4GalT7-RA
FBtr0300774	Hexo1-RE
FBtr0307189	CG15199-RB
FBtr0301167	Nse4-RC
FBtr0072813	metl-RA
FBtr0301812	CG41128-RB
FBtr0089084	Eph-RC
FBtr0303198	gce-RC
FBtr0082535	Lk6-RB
FBtr0301959	Tm1-RM
FBtr0083804	Vha13-RA
FBtr0071533	mRpL54-RA
FBtr0342928	Nedd8-RB
FBtr0070590	CG14270-RA
FBtr0071102	sn-RB
FBtr0073382	CG2157-RA
FBtr0333568	CG11586-RB
FBtr0079697	CG13097-RA
FBtr0074299	Cnx14D-RA
FBtr0084977	Exo84-RA
FBtr0072923	CG1146-RA
FBtr0330356	bru3-RN
FBtr0071248	lawc-RA
FBtr0331632	CG4592-RB
FBtr0085394	Brd8-RA
FBtr0304112	Cnot4-RH
FBtr0331635	CG5853-RB
FBtr0343289	CG10904-RB
FBtr0074335	ppk28-RA
FBtr0074330	mRpL22-RA
FBtr0340412	CG32647-RC
FBtr0089766	Cyp6d5-RA
FBtr0085712	Cyp4c3-RA
FBtr0085498	CG31038-RE
FBtr0308070	CG10353-RE
