Cluster-1	total=11	enrichmentScore=2.871007519328952	phaseStdDev=4.012830730489804	"Vision,phototransduction,visual perception,Sensory transduction,rhabdomere,Phototransduction - fly,CalciumAnnotation Cluster 1"	Enrichment Score: 2.871007519328952								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Vision	6	5.217391304	9.23E-05	1.123457167	3.792236225	"FBtr0087047, FBtr0084949, FBtr0074949, FBtr0082548, FBtr0088471, FBtr0076688"	115	56	13921	12.96987578	0.009648415	0.009048494
GOTERM_BP_DIRECT	GO:0007602~phototransduction	5	4.347826087	7.09E-04	-0.6653024	1.078194146	"FBtr0078508, FBtr0087047, FBtr0088333, FBtr0074949, FBtr0076688"	87	52	10996	12.15296198	0.196888768	0.096484576
GOTERM_BP_DIRECT	GO:0007601~visual perception	5	4.347826087	9.40E-04	-0.519413	1.031083118	"FBtr0087047, FBtr0084949, FBtr0074949, FBtr0082548, FBtr0076688"	87	56	10996	11.28489327	0.252132945	0.096484576
UP_KEYWORDS	Sensory transduction	7	6.086956522	0.001220791	-0.225648	4.821527515	"FBtr0087047, FBtr0085450, FBtr0084949, FBtr0074949, FBtr0082548, FBtr0088471, FBtr0076688"	115	145	13921	5.843898051	0.120376572	0.027332536
GOTERM_CC_DIRECT	GO:0016028~rhabdomere	4	3.47826087	0.002227162	2.26344325	4.188151127	"FBtr0087047, FBtr0074949, FBtr0082548, FBtr0088471"	86	31	10026	15.04276069	0.161501109	0.175945799
KEGG_PATHWAY	dme04745:Phototransduction - fly	4	3.47826087	0.003066734	1.236415	5.014156391	"FBtr0087047, FBtr0074949, FBtr0088471, FBtr0331960"	34	25	2737	12.88	0.144991415	0.075134992
UP_KEYWORDS	Calcium	5	4.347826087	0.015582905	0.970276	4.530227311	"FBtr0087047, FBtr0082548, FBtr0088471, FBtr0331960, FBtr0303422"	115	117	13921	5.173169825	0.807774757	0.132648917
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0078508	laza-RA	1.138799	0.034122	0.1	FlyBase laza-RA	Figure for laza-RA							
FBtr0076688	CdsA-RA	3.121981	0	22.3	FlyBase CdsA-RA	Figure for CdsA-RA							
FBtr0084949	boss-RA	3.823085	0	23.4	FlyBase boss-RA	Figure for boss-RA							
FBtr0082548	Cpn-RB	3.998215	0.004004	0.1	FlyBase Cpn-RB	Figure for Cpn-RB							
FBtr0085450	Obp99a-RA	0.420666	0.045639	15.7	FlyBase Obp99a-RA	Figure for Obp99a-RA							
FBtr0088333	Hdc-RA	2.124631	0.007493	22.7	FlyBase Hdc-RA	Figure for Hdc-RA							
FBtr0303422	Eip63F-1-RD	2.986205	0.007493	22.3	FlyBase Eip63F-1-RD	Figure for Eip63F-1-RD							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0088471	trpl-RA	2.006272	0.00999	9.3	FlyBase trpl-RA	Figure for trpl-RA							
FBtr0074949	Gbeta76C-RA	3.344613	0	22.5	FlyBase Gbeta76C-RA	Figure for Gbeta76C-RA							
FBtr0331960	Pkc53E-RF	1.486684	0.030821	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
													
Cluster-2	total=4	enrichmentScore=2.238063842932994	phaseStdDev=2.3276237882142143	"Pyridoxal phosphate,Pyridoxal phosphate-dependent transferase, major region, subdomain 2,Pyridoxal phosphate-dependent transferase, major region, subdomain 1,Pyridoxal phosphate-dependent decarboxylase,pyridoxal phosphate binding,Pyridoxal phosphate-dependent transferase,LyaseAnnotation Cluster 2"	Enrichment Score: 2.238063842932994								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Pyridoxal phosphate	4	3.47826087	0.001673421	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	115	29	13921	16.69685157	0.161261534	0.027332536
INTERPRO	"IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2"	4	3.47826087	0.001880825	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	106	26	10984	15.94194485	0.344070226	0.115589541
INTERPRO	"IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1"	4	3.47826087	0.003760294	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	106	33	10984	12.56032018	0.569967028	0.128140436
INTERPRO	IPR002129:Pyridoxal phosphate-dependent decarboxylase	3	2.608695652	0.003874509	-2.095026667	0.846940028	"FBtr0309960, FBtr0088333, FBtr0078179"	106	10	10984	31.08679245	0.580870627	0.128140436
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	4	3.47826087	0.003982606	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	89	34	9284	12.27230668	0.434841856	0.394098318
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	4	3.47826087	0.004095813	-3.37041575	2.327623788	"FBtr0309960, FBtr0088333, FBtr0078179, FBtr0078536"	106	34	10984	12.190899	0.601220297	0.128140436
UP_KEYWORDS	Lyase	3	2.608695652	0.288173302	-2.095026667	0.846940028	"FBtr0309960, FBtr0088333, FBtr0078179"	115	130	13921	2.793511706	1	0.942307692
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0309960	b-RB	0.645929	0.024912	20.7	FlyBase b-RB	Figure for b-RB							
FBtr0088333	Hdc-RA	2.124631	0.007493	22.7	FlyBase Hdc-RA	Figure for Hdc-RA							
FBtr0078179	CG5618-RA	1.538144	0.012521	22.3	FlyBase CG5618-RA	Figure for CG5618-RA							
FBtr0078536	CG11241-RA	1.257136	0.018307	16.8	FlyBase CG11241-RA	Figure for CG11241-RA							
													
Cluster-3	total=10	enrichmentScore=2.077467475998161	phaseStdDev=4.751464487431344	"Protein kinase-like domain,CHK kinase-like,Protein of unknown function DUF227,CHKAnnotation Cluster 3"	Enrichment Score: 2.077467475998161								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR011009:Protein kinase-like domain	10	8.695652174	0.001981526	1.9952087	4.751464487	"FBtr0333223, FBtr0087047, FBtr0332570, FBtr0082438, FBtr0334606, FBtr0339237, FBtr0331960, FBtr0076556, FBtr0084853, FBtr0084864"	106	294	10984	3.524579643	0.358728347	0.115589541
INTERPRO	IPR015897:CHK kinase-like	4	3.47826087	0.012680955	0.00774825	3.071050242	"FBtr0082438, FBtr0076556, FBtr0084853, FBtr0084864"	106	51	10984	8.127266001	0.94265662	0.245127973
INTERPRO	IPR004119:Protein of unknown function DUF227	4	3.47826087	0.012680955	0.00774825	3.071050242	"FBtr0082438, FBtr0076556, FBtr0084853, FBtr0084864"	106	51	10984	8.127266001	0.94265662	0.245127973
SMART	SM00587:CHK	4	3.47826087	0.015375402	0.00774825	3.071050242	"FBtr0082438, FBtr0076556, FBtr0084853, FBtr0084864"	55	51	5218	7.440998217	0.52467277	0.246006433
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0082438	CG6834-RA	2.70522	0.011853	5.1	FlyBase CG6834-RA	Figure for CG6834-RA							
FBtr0084864	CG10514-RA	1.010038	0.047318	23.8	FlyBase CG10514-RA	Figure for CG10514-RA							
FBtr0332570	CG4629-RE	3.285529	0	22.3	FlyBase CG4629-RE	Figure for CG4629-RE							
FBtr0084853	CG10553-RA	1.771382	0.014986	21.6	FlyBase CG10553-RA	Figure for CG10553-RA							
FBtr0339237	CG11221-RB	1.506694	0.017147	7.7	FlyBase CG11221-RB	Figure for CG11221-RB							
FBtr0334606	gish-RM	1.099842	0.039267	6.6	FlyBase gish-RM	Figure for gish-RM							
FBtr0333223	nmo-RH	1.403179	0.009138	10.2	FlyBase nmo-RH	Figure for nmo-RH							
FBtr0076556	CG5644-RA	0.864749	0.016056	21.5	FlyBase CG5644-RA	Figure for CG5644-RA							
FBtr0087047	inaC-RA	4.90405	0	1.1	FlyBase inaC-RA	Figure for inaC-RA							
FBtr0331960	Pkc53E-RF	1.486684	0.030821	20	FlyBase Pkc53E-RF	Figure for Pkc53E-RF							
													
Cluster-4	total=5	enrichmentScore=1.9639151162604762	phaseStdDev=1.8325357919520597	"Leucine-rich repeat, typical subtype,LRR_TYP,Leucine-rich repeatAnnotation Cluster 4"	Enrichment Score: 1.9639151162604762								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
