FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBtr0070000	0.292982	0	0.000453221	0	1.41426	0
FBtr0307554	2.46641	1.96863	2.9583	0.790111	3.10322	0.289881
FBtr0307555	33.5205	31.79	29.4239	38.5897	33.0489	37.9977
FBtr0070002	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0
FBtr0301569	0.122868	0.162449	3.32823e-06	4.98461e-05	0.0769553	1.4145e-05
FBtr0343166	2.93892e-05	2.67796e-05	0.135323	0.131985	3.33924e-05	0.202469
FBtr0070029	0	0	0	0	0	0
FBtr0301572	0	0.167285	0	0	0.198173	0
FBtr0070032	0	0.0568278	0	0	0	0
FBtr0070035	0	0	0	0	0	0
FBtr0070036	3.27122	1.40552	2.18283	2.48462	1.66504	2.66123
FBtr0070045	25.0118	21.7245	21.6678	31.9856	21.4854	28.3939
FBtr0070046	29.1759	26.4635	25.5067	39.7692	26.3832	27.9385
FBtr0299869	1733.15	1819.44	1511.38	1399.33	1514.21	3264.81
FBtr0299870	157.095	157.639	144.919	100.212	153.173	262.392
FBtr0333910	19.122	13.915	18.2269	24.1431	14.3442	21.754
FBtr0070063	1.52596	1.73094	1.56635	0.396268	1.14924	1.35577
FBtr0332992	7.99456	7.49557	7.18333	8.54536	7.74327	7.3445
FBtr0070064	0.0484722	1.94375	3.85455	0	0.01911	6.06246
FBtr0070065	25.5945	21.6105	20.2181	21.0129	21.9585	15.8068
FBtr0070066	2.57395	3.50039	1.98569	0	0.639439	2.19063
FBtr0070067	0.00264212	0.00219264	0.00229522	1.61976	0.00117157	0.00205097
FBtr0070068	0	0	0	0	0	0
FBtr0342962	0.127839	0	0	0.0615054	0	0.197908
FBtr0344149	0	0	0	0	0.692552	0
FBtr0070069	0.95346	0.934293	0.931508	1.07948	0.676482	1.10341
FBtr0070070	1.45584	1.75148	2.56899	2.80153	1.70254	0.954718
FBtr0070071	0.88648	0.675616	0.83899	0.713062	0.628902	0.566941
FBtr0070072	0	0	0	0	0	0
