geneID	symbol	yQvalue	oQvalue	yPvalue	oPvalue	yRP24	oRP24	ySP	oSP	yPVEC	oPVEC	yPhase	oPhase	yMedian	oMedian	yDetectable	oDetectable	yNonZero	oNonzeronFBtr0340622	ND-24-RB	0.033871	0.032697	0.0068	0.0059	0.803119	1.110207	1.593600	3.899581	10.149672	1.602842	22.807930	0.830851	34.203100	44.458550	1	1	1	1
FBtr0088425	RpLP0-like-RA	0.037648	0.016938	0.0087	0.0016	1.068110	2.201920	1.952626	2.761756	72.674201	0.689901	23.086942	21.976649	7.576000	9.613330	1	1	1	1
FBtr0078015	dock-RC	0.047831	0.010249	0.0146	0.0006	0.601219	2.396552	1.093065	3.099360	14.908906	13.785725	21.300949	20.518795	29.119200	26.251050	1	1	1	1
FBtr0112422	CG34229-RA	0.038458	0.033998	0.0094	0.0067	0.414637	1.115124	1.217381	1.826952	12.869559	2.285917	20.691629	20.350673	8.393985	9.246575	1	1	1	1
FBtr0078785	CG1161-RA	0.022501	0.044016	0.0029	0.0118	0.294585	0.815246	0.553101	2.170493	21.476132	7.984124	23.601419	2.239052	9.210350	10.322300	1	1	1	1
FBtr0078787	RpII18-RA	0.014403	0.003712	0.0012	0.0001	1.989274	1.777387	2.504511	3.615406	14.528149	2.136897	23.271495	0.581568	15.307300	17.540300	1	1	1	1
FBtr0078995	CG14043-RA	0.030526	0.019427	0.0055	0.0021	0.593286	1.576525	0.904568	1.882415	76.153600	74.970665	20.865760	20.484754	7.659905	9.157265	1	0	1	1
FBtr0088227	CG12325-RA	0.034646	0.033869	0.0072	0.0065	1.163143	0.874977	2.912714	1.432796	55.814473	27.018640	22.391918	23.561172	5.139150	5.627960	1	1	1	1
FBtr0088228	nclb-RA	0.035344	0.005754	0.0075	0.0002	0.968701	1.840036	2.164982	2.516671	52.179002	30.070195	22.791317	0.450593	13.012600	15.468400	1	1	1	1
FBtr0114615	l(2)05287-RB	0.026062	0.046723	0.004	0.0138	1.143651	0.613837	2.261546	3.804061	7.415970	1.708987	21.663856	22.140282	4.500630	5.488075	0	1	1	1
FBtr0300276	CG6967-RC	0.008325	0.026577	0.0004	0.004	4.467581	1.410109	4.686401	2.712846	17.641752	9.179888	22.216811	18.988568	1.871050	1.661940	1	1	1	1
FBtr0080114	CG6495-RA	0.025698	0.045959	0.0039	0.0132	1.205900	0.242295	1.833139	2.021815	7.501513	1.074467	21.738381	1.256129	3.823675	4.537115	1	1	1	1
FBtr0077330	Syx16-RA	0.012521	0.033869	0.0009	0.0065	1.577946	0.868569	3.816992	2.511137	1.726994	4.566938	23.806585	0.221625	2.053460	3.077075	1	1	1	1
FBtr0084107	CG3337-RA	0.016056	0.044793	0.0015	0.0125	0.311961	0.682302	1.232187	0.963936	13.769027	8.383943	21.012082	20.129646	22.891700	22.020600	1	1	1	1
FBtr0081468	CG9253-RA	0.014403	0.03761	0.0012	0.0083	1.952054	0.963704	3.974531	2.373703	19.889807	16.459056	21.515413	21.440611	17.310650	18.191300	1	1	1	1
FBtr0113101	ND-B12-RB	0.016056	0.04386	0.0015	0.0117	1.718209	1.057175	2.439286	1.388076	9.534833	0.013160	22.777880	23.728391	20.120550	19.124300	1	1	1	1
FBtr0343129	ND-51-RB	0.006281	0.048728	0.0002	0.0153	2.109682	0.207378	2.398341	2.414466	3.606805	1.083189	22.374559	0.664598	45.433150	74.073000	1	1	1	1
FBtr0072594	dpr20-RA	0.044123	0.014577	0.0124	0.0012	0.567184	0.599492	1.360031	2.334646	42.629136	0.046948	23.911986	23.916947	4.533680	4.077715	0	1	1	1
FBtr0073972	pdgy-RA	0.009138	0.007274	0.0005	0.0003	1.737935	3.515761	4.377011	3.839621	15.420608	16.626063	21.580572	21.690074	24.921300	40.578500	1	0	1	1
FBtr0085733	Alp4-RA	0.030085	0.0	0.0053	0.0	0.664550	2.272468	2.386182	4.207579	10.724411	0.424593	22.939264	0.398152	8.649595	10.444775	1	1	1	1
FBtr0345216	gb-RB	0.00999	0.023009	0.0006	0.003	1.318161	1.564119	3.404882	2.880745	0.250568	93.395760	22.773905	22.253641	15.234750	20.271300	1	1	1	1
FBtr0075023	CG6836-RA	0.028909	0.035342	0.0049	0.0073	1.553018	1.401058	4.258906	2.283343	21.506301	52.658160	23.338395	21.911012	10.007870	11.912700	1	1	1	1
FBtr0079164	obst-E-RB	0.04544	0.046723	0.0129	0.0138	0.591048	0.251046	2.706756	0.757849	23.297031	16.014635	23.052320	21.776868	7.338585	9.217800	1	1	1	1
FBtr0345602	CG6983-RB	0.008325	0.037722	0.0004	0.0084	2.797300	1.147817	3.273548	3.091230	40.994188	87.002941	23.835812	22.224920	225.747000	135.032500	1	1	1	1
FBtr0079372	CG13773-RA	0.012521	0.044142	0.0009	0.0119	2.540809	0.882607	2.714313	1.018393	9.469474	12.913815	22.490977	21.377258	5.225215	6.936865	1	1	1	1
FBtr0075457	CG5027-RA	0.0	0.005754	0.0	0.0002	1.991784	1.987412	3.758846	5.783120	0.103992	0.108856	23.369806	23.952414	19.243200	15.650050	1	1	1	1
FBtr0082417	CG18764-RA	0.036062	0.036087	0.0079	0.0077	0.216922	0.689291	1.266582	2.636795	12.235517	7.914975	20.568114	18.842954	5.339825	6.397355	1	1	1	1
FBtr0084139	CG6656-RA	0.028909	0.008746	0.0049	0.0004	1.792507	2.973948	2.092563	4.382467	18.933727	2.521767	21.763221	3.451183	65.264250	55.888750	1	1	1	1
FBtr0083784	ort-RA	0.031077	0.033524	0.0057	0.0063	1.800815	1.397483	5.709664	2.538644	3.425594	8.127227	20.680585	5.452794	10.363095	8.885225	1	1	1	1
FBtr0301488	Lkb1-RJ	0.008325	0.039006	0.0004	0.0089	1.374105	0.589424	2.403185	1.130046	27.432655	33.339207	22.855008	23.376876	3.199680	3.291380	1	1	1	1
FBtr0072277	mRpS17-RA	0.009138	0.014577	0.0005	0.0012	2.062506	1.771788	2.279489	6.807933	3.756231	1.090826	20.903707	21.675800	12.625100	14.006450	1	1	1	1
FBtr0342772	SmydA-8-RC	0.028909	0.014577	0.0049	0.0012	1.456491	0.826270	2.149224	3.498653	2.656921	0.245295	21.404346	23.653214	18.133800	20.813300	1	1	1	1
FBtr0089497	Gdh-RF	0.008325	0.021821	0.0004	0.0027	2.130943	1.193803	2.651602	2.370602	7.626987	0.209400	22.460698	0.895143	18.328500	14.314050	1	1	1	1
FBtr0342673	CG11099-RB	0.011853	0.011106	0.0008	0.0007	2.166575	2.035948	2.198071	3.088602	25.866064	91.633174	22.458320	0.153622	45.975850	30.044000	1	1	1	1
